time,Individual,Cumulative
1587074656,5838,5838
1587081485,807,6623
1587736506,56699,60181
1587772696,57304,67300
1587849899,56638,71756
1587963185,56335,76036
1587999940,57533,78509
1588073425,56775,81543
1589592472,56327,100803
1589665099,56864,105136
1589844794,56845,110034
1589988102,54055,113709
1590167745,57136,118121
1590942063,53511,128161
1591293676,52414,134065
1591329660,53918,136257
1591564302,55169,140959
1591702545,53691,144094
1591773663,53415,146119
1591982941,53347,149563
1592053543,52374,151356
1592192014,53241,153762
1592399986,53931,157076
1592570917,54279,160108
1592743478,54378,163496
