time,bitnodes
1585790313,525
1585845499,562
1586030134,553
1586044381,561
1586056350,582
1586104624,551
1586121483,548
1586131431,517
1586188890,559
1586203423,0
1586208849,534
1586222024,573
1586233074,561
1586275202,527
1586288569,494
1586351760,523
1586368643,541
1586379440,512
1586389796,536
1586399665,510
1586408270,529
1586416485,499
1586424832,502
1586432961,501
1586441183,503
1586449401,527
1586457662,507
1586466115,517
1586474420,531
1586483177,496
1586491169,518
1586498905,514
1586506268,468
1586514216,448
1586521651,493
1586529177,492
1586539343,485
1586552373,465
1586559795,474
1586567252,443
1586574344,485
1586581753,484
1586589137,504
1586596691,441
1586605638,496
1586613026,439
1586620352,460
1586627625,462
1586636959,499
1586644617,478
1586653641,465
1586663608,486
1586676254,443
1586742843,409
1586757742,422
1586785906,479
1586799158,450
1586821486,501
1586837125,482
1586850712,455
1586861007,448
1586869181,464
1586878443,462
1586887341,494
1586897320,471
1586908298,457
1586918594,443
1586927495,441
1586937854,428
1586947514,405
1586957866,416
1586966865,390
1586975386,407
1586984245,444
1586992796,426
1587002960,415
1587012519,451
1587021149,454
1587030425,432
1587039816,450
1587048380,397
1587057290,392
1587066295,403
1587091973,462
1587125478,431
1587159154,389
1587193084,407
1587227575,369
1587263988,409
1587299765,383
1587364632,376
1587409287,405
1587445034,407
1587480559,398
1587515557,383
1587552185,404
1587592999,452
1587628292,532
1587662835,356
1587699602,383
1587736506,348
1587772696,379
1587809090,389
1587849899,389
1587887006,337
1587926546,380
1587963185,388
1587999940,422
1588037192,378
1588073425,389
1588114997,358
1588159592,344
1588207945,356
1588257681,342
1588306684,369
1588357369,418
1588406392,364
1588454808,416
1588503745,399
1589487728,402
1589522724,375
1589557293,424
1589592472,330
1589627905,337
1589665099,306
1589700968,321
1589737436,442
1589772847,399
1589808782,447
1589844794,377
1589882275,410
1589918898,387
1589953287,422
1589988102,289
1590021831,353
1590058611,324
1590093815,362
1590131151,371
1590167745,330
1590204591,379
1590241937,362
1590871077,323
1590906217,313
1590942063,300
1590977585,333
1591012662,309
1591047336,312
1591082268,357
1591116910,301
1591152473,348
1591187757,358
1591223152,353
1591258528,305
1591293676,353
1591329660,346
1591365915,319
1591494195,350
1591529654,307
1591564302,308
1591599005,329
1591633298,312
1591667367,361
1591702545,303
1591738054,348
1591773663,343
1591808655,336
1591843335,383
1591878466,340
1591912742,374
1591947725,360
1591982941,271
1592017817,318
1592053543,312
1592087769,346
1592122492,278
1592157135,311
1592192014,303
1592228690,315
1592262434,288
1592297037,376
1592331802,292
1592365392,299
1592399986,276
1592433970,308
1592468955,296
1592503300,295
1592536467,286
1592570917,274
1592605882,245
1592640040,275
1592673963,283
1592708920,242
1592743478,300
1592777873,272
