Incoming,Outgoing,Node Count,Incoming (MB/s),Outgoing (MB/s),Node Count
157197.845249755,8920.6660137121,1,0.1571978452,0.008920666,1
1708815.84158416,54075.2475247525,1,1.7088158416,0.0540752475,1
162458.248472505,9423.6252545825,1,0.1624582485,0.0094236253,1
1280497.05304519,492074.656188605,115,1.280497053,0.4920746562,115
2552182.44575937,1137090.72978304,379,2.5521824458,1.1370907298,379
2335058.47373637,1194480.67393459,542,2.3350584737,1.1944806739,542
2954201.44356955,1096549.21259843,745,2.9542014436,1.0965492126,745
2847269.6969697,1129382.82828283,929,2.847269697,1.1293828283,929
2901799.59718026,1124712.99093656,1111,2.9017995972,1.1247129909,1111
2901546.53465347,1252182.17821782,1291,2.9015465347,1.2521821782,1291
2823508.47457627,1480516.45064806,1458,2.8235084746,1.4805164506,1458
2377523.71541502,1299195.65217391,1589,2.3775237154,1.2991956522,1589
2945063.38028169,1207749.49698189,1688,2.9450633803,1.207749497,1688
2689417.15976331,1390950.69033531,1782,2.6894171598,1.3909506903,1782
2897210.78921079,1425039.96003996,1855,2.8972107892,1.42503996,1855
2904134.84251969,1465759.84251969,1919,2.9041348425,1.4657598425,1919
2605957.71878073,1451101.27826942,1997,2.6059577188,1.4511012783,1997
2821771.85929648,1173705.52763819,2075,2.8217718593,1.1737055276,2075
3266796,1051438,2135,3.266796,1.051438,2135
3505751.47347741,907682.711198428,2190,3.5057514735,0.9076827112,2190
2892384.53914767,1078382.55698712,2245,2.8923845391,1.078382557,2245
3084121.63509472,891271.186440678,2284,3.0841216351,0.8912711864,2284
2784036.8159204,859968.15920398,2325,2.7840368159,0.8599681592,2325
3132599.01477833,1062397.04433498,2342,3.1325990148,1.0623970443,2342
3085758,1211222,2434,3.085758,1.211222,2434
3176678.53610287,1232185.95450049,2558,3.1766785361,1.2321859545,2558
2613145.54455446,1373448.51485149,2664,2.6131455446,1.3734485149,2664
3266891.23867069,1467649.54682779,2774,3.2668912387,1.4676495468,2774
3496281.09696376,1472210.57786484,2873,3.496281097,1.4722105779,2873
3502754.08261287,1357286.26320845,2967,3.5027540826,1.3572862632,2967
3543947.15447154,1593204.26829268,3060,3.5439471545,1.5932042683,3060
3168530.69306931,1792760.3960396,3206,3.1685306931,1.792760396,3206
3080603.37972167,1669295.22862823,3309,3.0806033797,1.6692952286,3309
3361765.56420233,1671844.35797665,3414,3.3617655642,1.671844358,3414
3415800.80482897,1639293.76257545,3505,3.4158008048,1.6392937626,3505
2710425.02482622,1475956.30585899,3568,2.7104250248,1.4759563059,3568
3412443,1354254,3646,3.412443,1.354254,3646
3549869.17740337,1334167.4925669,3719,3.5498691774,1.3341674926,3719
3510807.80780781,1188527.52752753,3811,3.5108078078,1.1885275275,3811
3566476.98334966,1222972.57590597,3900,3.5664769833,1.2229725759,3900
3896159.2039801,1294992.039801,4008,3.896159204,1.2949920398,4008
3562972.97297297,1310349.34934935,4106,3.562972973,1.3103493493,4106
3627090.54726368,1279672.63681592,4220,3.6270905473,1.2796726368,4220
3728436.38170974,1195267.39562624,4279,3.7284363817,1.1952673956,4279
3456687.93619143,1248127.61714855,4359,3.4566879362,1.2481276171,4359
3324362.29022705,1432992.10266535,4460,3.3243622902,1.4329921027,4460
2998748.00796813,1352133.46613546,4580,2.998748008,1.3521334661,4580
3526650.84075173,1441743.81800198,4663,3.5266508408,1.441743818,4663
3789012.8968254,1325686.50793651,4715,3.7890128968,1.3256865079,4715
3678111.11111111,1450839.28571429,4811,3.6781111111,1.4508392857,4811
3524258.67195243,1258095.14370664,4917,3.524258672,1.2580951437,4917
3202677.1964462,1336091.8065153,5002,3.2026771964,1.3360918065,5002
3807059.1775326,1261783.35005015,5112,3.8070591775,1.2617833501,5112
3300819.54137587,1321736.78963111,5216,3.3008195414,1.3217367896,5216
3299380.67061144,1299653.84615385,5311,3.2993806706,1.2996538462,5311
3273095.75518263,1297337.61105627,5406,3.2730957552,1.2973376111,5406
3902593,1359608,5475,3.902593,1.359608,5475
3406392.89239882,1474951.62882527,5569,3.4063928924,1.4749516288,5569
3295017.05115346,1280623.87161484,5675,3.2950170512,1.2806238716,5675
3135168.30708661,1419896.65354331,5758,3.1351683071,1.4198966535,5758
3233529.46954813,1358434.18467583,5826,3.2335294695,1.3584341847,5826
3341977.20515362,1374900.89197225,5941,3.3419772052,1.374900892,5941
3508042.12637914,1261193.58074223,6041,3.5080421264,1.2611935807,6041
3727859.56175299,1344005.97609562,6137,3.7278595618,1.3440059761,6137
3523765.70289133,1154927.21834497,6198,3.5237657029,1.1549272183,6198
3612987.06467662,1204758.20895522,6253,3.6129870647,1.204758209,6253
3736112.66201396,986134.596211366,6250,3.736112662,0.9861345962,6250
3983613.93034826,1000999.00497512,6242,3.9836139303,1.000999005,6242
3611242.51497006,900154.690618763,6241,3.611242515,0.9001546906,6241
3273018.94317049,935595.214356929,6230,3.2730189432,0.9355952144,6230
3371556.53883972,805550.63913471,6215,3.3715565388,0.8055506391,6215
3357427.29083665,1006176.29482072,6197,3.3574272908,1.0061762948,6197
3286018.94317049,835171.48554337,6191,3.2860189432,0.8351714855,6191
3111299.50248756,849305.472636816,6188,3.1112995025,0.8493054726,6188
3096696.90927218,1015362.9112662,6184,3.0966969093,1.0153629113,6184
3281990.03984064,781893.426294821,6182,3.2819900398,0.7818934263,6182
3261729.08366534,858749.003984064,6175,3.2617290837,0.858749004,6175
2886668.63905325,858329.388560158,6173,2.8866686391,0.8583293886,6173
3186308.1570997,942876.132930514,6170,3.1863081571,0.9428761329,6170
3029875.49800797,723829.6812749,6169,3.029875498,0.7238296813,6169
3299184.07960199,905660.696517413,6168,3.2991840796,0.9056606965,6168
3454128.61415753,657607.178464606,6160,3.4541286142,0.6576071785,6160
2936742.03187251,1053584.66135458,6154,2.9367420319,1.0535846614,6154
2660171.48554337,881384.845463609,6151,2.6601714855,0.8813848455,6151
2693746.01593625,1227535.85657371,6148,2.6937460159,1.2275358566,6148
2464264.94023904,915821.71314741,6136,2.4642649402,0.9158217131,6136
2664765.93625498,1169227.09163347,6122,2.6647659363,1.1692270916,6122
2083232.30309073,882910.269192423,6105,2.0832323031,0.8829102692,6105
2347171.31474104,1094545.81673307,6098,2.3471713147,1.0945458167,6098
2327776.66999003,947107.676969093,6086,2.32777667,0.947107677,6086
2154244.7761194,1095635.82089552,6080,2.1542447761,1.0956358209,6080
2186150.39840637,823568.725099602,6056,2.1861503984,0.8235687251,6056
2546925.1497006,1020375.249501,6034,2.5469251497,1.0203752495,6034
